place_name;rating;address;city;province;makanan_khas
Curug Sudimoro;4,3;FGCH+C4F, Desa, Igir Kemiriamba, Donorejo, Kec. Sempor, Kabupaten Kebumen, Jawa Tengah 54421, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Pantai KARANG AGUNG KEBUMEN;4,3;Argopeni, Ayah, Kebumen Regency, Central Java 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Selam Semliro;4,3;9V7J+37R, Semliro, Rahtawu, Kec. Gebog, Kabupaten Kudus, Jawa Tengah 59333, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Wana Wisata Ternadi;4,3;8VPM+8JV, Area Kebun, Ternadi, Dawe, Kudus Regency, Central Java 59353, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
TKL Ecopark - Taman Kyai Langgeng - Tempat Wisata Magelang;4,3;Jl. Cemp. No.6, Kemirirejo, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56122, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Bukit Barede;4,3;Sendaren 2, Karangrejo, Borobudur, Magelang Regency, Central Java 56553, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Borobudur Land;4,3;Jl. Dusun Gayu, Bojong, Wringinputih, Borobudur, Magelang Regency, Central Java 56553, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Punthuk Mongkrong;4,3;Desa Giritengah, Kec. Borobudur, Olgung, Giripurno, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Top Selfie Pinusan Kragilan;4,3;G9QM+HHG, Area Kebun/Hutan, Pogalan, Pakis, Magelang Regency, Central Java 56193, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Taman Satwa;4,3;G686+F67, Kemirirejo, Magelang Tengah, Magelang City, Central Java 56122, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Cinema 6D Taman Kyai Langgeng;4,3;G686+G23, Kemirirejo, Magelang Tengah, Magelang City, Central Java 56123, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Pikatan Water Park;4,3;Komplek Pikatan Water Park, Jl. Raya Pikatan, RT.5/RW.5, Mudal, Temanggung, Temanggung Regency, Central Java 56228, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Pantai Sari Pekalongan;4,3;Jl. Pantai Sari No.16, RT.01/RW.10, Panjang Baru, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Bukit Pawuluhan;4,3;QGHJ+77G, Klesem, Kandangserang, Pekalongan Regency, Central Java 51163, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Taman wisata GOA MACAN;4,3;WGGQ+GMJ, Jl. Kandangserang Tambakroto, Sawah Dan Kebun, Tambakroto, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
La Ranch;4,3;jl.karanganyar-lolong, Limbangan, Kec. Karanganyar, Kabupaten Pekalongan, Jawa Tengah 51151, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
The Village Purwokerto;4,3;Jl. Raya Baturaden No.km 7, Dusun I, Rempoah, Baturaden, Banyumas Regency, Central Java 53151, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Taman Andhang Pangrenan Purwokerto;4,3;Jalan Gerilya Purwokerto Selatan, Windusara, Karangklesem, Kec. Banyumas, Kabupaten Banyumas, Jawa Tengah 53144, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Satria Park Purwokerto;4,3;Kebontebu, Berkoh, Purwokerto Selatan, Banyumas Regency, Central Java 53146, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Buken Swimming Pool;4,3;Dusun II, Banjarsari Kulon, Sumbang, Banyumas Regency, Central Java 53183, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Safari See To Sky Purwokerto;4,3;Kawasan, Safari See To Sky, Kec. Sumbang, Kabupaten Banyumas, Jawa Tengah 53183, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
Kampung Pelangi;4,3;Jl. DR. Sutomo No.89, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Sriwedari Park;4,3;Slamet Riyadi St No.275, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Objek Wisata Guci;4,3;R527+GPH, Jl. Objek Wisata Guci, Kalengan, Guci, Kecamatan Bumijawa, Kabupaten Tegal, Jawa Tengah 52466, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
TWA GUCI Pancuran 13;4,3;R527+9QX, Ow bojong, Kalengan, Guci, Kecamatan Bumijawa, Kabupaten Tegal, Jawa Tengah 52466, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Wana Wisata Guci;4,3;Guci, Pekandangan, Tuwel, Bojong, Tegal Regency, Central Java 52465, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Wisata Taman Anggrek;4,3;R5H2+27R, Jl. Objek Wisata Guci, Sawah,Ladang, Tuwel, Kec. Bojong, Kabupaten Tegal, Jawa Tengah 52465, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Curug Jedor Guci Bumijawa Tegal;4,3;Q5X7+8WP, Ladang,Hutan, Guci, Bumijawa, Tegal Regency, Central Java 52466, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Tugu Bedol Desa Waduk Gajah Mungkur;4,3;5W7M+MF9, Karang Talun, Pokohkidul, Wonogiri, Wonogiri Regency, Central Java 57615, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Gajah Mungkur Reservoir;4,3;3VVR+RWF, Gadjah Mungkur, Waduk, Waduk Gajahmungkur, Kabupaten Wonogiri, Jawa Tengah 57661, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Taman Wisata Tunggangan;4,3;34J7+45R, Jatiroto, Pingkuk, Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57692, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Lobang Sewu;4,3;CQFV+C24, Jurutengah, Erorejo, Wadaslintang, Wonosobo Regency, Central Java 56365, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Telaga Bedakah & Camping Ground;4,3;Semensari, Tlogomulyo, Kec. Kertek, Kabupaten Wonosobo, Jawa Tengah 56371, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Love Hill Nature Valley Seroja;4,3;Jl. Usaha Tani, Maron, Garung, Wonosobo Regency, Central Java 56353, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
The Sinsu Park ( Taman Wisata - Resort - Resto );4,3;Garung, Reco, Kec. Kertek, Kabupaten Wonosobo, Jawa Tengah 56371, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Dieng Plateau Theater;4,3;QWM7+8VJ, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
Kedung Tolok;4,3;Jl. Imogiri Siluk, Kajor Kulon, Selopamioro, Imogiri, Bantul Regency, Special Region of Yogyakarta 55782, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Arum Bogem Spring Pond;4,3;Bogem, Caturharjo, Pandak, Bantul Regency, Special Region of Yogyakarta 55761, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Karst Tubing Sedayu;4,3;Jl. Wates No.Km. 9.5, Surobayan, Argomulyo, Sedayu, Bantul Regency, Special Region of Yogyakarta 55752, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Desa Wisata PUTON;4,3;39WJ+C57, Puton, Trimulyo, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
The Lost World Castle;4,3;Jl. Petung Merapi, Petung, Kepuharjo, Cangkringan, Sleman Regency, Special Region of Yogyakarta 55583, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Merapi Park Yogyakarta;4,3;Jl. Kaliurang No.KM. 22.5, Banteng, Hargobinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Tourism Village Mina Padi Cibuk Kidul;4,3;68W7+57R, Mandungan I, Margoluwih, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Candi Abang;4,3;5FQ9+VF3, Blambangan, Jogotirto, Berbah, Sleman Regency, Special Region of Yogyakarta 55573, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Taman Bunga Sleman;4,3;79J2+G48, Drono, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Wisata Kali Opak 7 Bulan;4,3;7FFM+PGG, Dalem, Tamanmartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Wisata Air Terjun Sri Gethuk;4,3;Jl. Air Terjun Sri Gethuk, Mungguran II, Bleberan, Kec. Playen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55816, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Goa Rancang Kencono;4,3;Mungguran II, Bleberan, Playen, Gunung Kidul Regency, Special Region of Yogyakarta 55861, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Bukit teletubbies;4,3;XH54+886, Unnamed Road, Area Hutan, Giring, Kec. Paliyan, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Gunung Api Purba Batur;4,3;RM9W+58V, Jl. Gunung Batur, Gunung Batur, Balong, Girisubo, Gunung Kidul Regency, Special Region of Yogyakarta 55883, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Gunung Mungker;4,3;Pencitrejo, Pantirejo, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Samas Beach;4,3;X7V8+R37, Jl. Samas, Dodogan, Srigading, Sanden, Bantul Regency, Special Region of Yogyakarta 55763, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Embung Langensari;4,3;Jl. Kusbini No.35, Klitren, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55222, Indonesia;kota Yogyakarta;yogyakarta;Gudeg, Bakpia, Krecek, Oseng Mercon
Goa Kebon;4,3;457P+5M7, Dukuh VII, Krembangan, Panjatan, Kulon Progo Regency, Special Region of Yogyakarta 55655, Indonesia;kulon progo;yogyakarta;Gudeg, Geblek, Growol
Mangrove Jembatan Api-Api (MJAA);4,3;Pasir Mendit, Jangkaran, Temon, Kulon Progo Regency, Special Region of Yogyakarta 55654, Indonesia;kulon progo;yogyakarta;Gudeg, Geblek, Growol
Goa Kiskendo;4,3;743J+4HP, Jl. Raya Kaligesing, Sokomoyo, Jatimulyo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674, Indonesia;kulon progo;yogyakarta;Gudeg, Geblek, Growol
WADUK MINI EMBUNG BANJAROYA;4,3;86RM+FWH, Jl. Kalibawang-Sendang Sono, Tonogoro, Banjaroyo, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672, Indonesia;kulon progo;yogyakarta;Gudeg, Geblek, Growol
Teras Cikapundung BBWS;4,3;4J84+7P9, Jl. Siliwangi, Hegarmanah, Cidadap, Bandung City, West Java 40131, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Taman Film;4,3;4J25+G3H, Jl. Layang Pasupati, Tamansari, Bandung Wetan, Bandung City, West Java 40116, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Pustaka Bunga Kandaga Puspa Park;4,3;Jl. Citarum No.23 A, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Happyfarm Ciwidey;4,3;Jl. Raya Ciwidey - Rancabali, Panundaan, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Fairy Garden;4,3;Jalan Maribaya Timur. 1, RT.01/RW.10, Cibodas, Lembang, West Bandung Regency, West Java 40391, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Bird Pavilion at Pramestha;4,3;Jl. Akaza Utama No.9, Mekarwangi, Lembang, West Bandung Regency, West Java 40391, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Talaga Saat Puncak;4,3;Cibulao, RT.02/RW.06, Tugu Utara, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750, Indonesia;bogor;jawa barat;Soto Mie Bogor, Asinan Bogor, Roti Unyil, Cungkring, Tauge Goreng, Lapis Talas
Leuwi Hejo;4,3;Jalan raya jangelansentul, Cibadak, Sukamakmur, Bogor Regency, West Java 16830, Indonesia;bogor;jawa barat;Soto Mie Bogor, Asinan Bogor, Roti Unyil, Cungkring, Tauge Goreng, Lapis Talas
Pantai Cemara Cipanglay;4,3;G923+653, jln Cipanglay Desa, Cidamar, Cidaun, Cianjur Regency, West Java 43275, Indonesia;cianjur;jawa barat;Manisan Cianjur, Geco
Cianjur City Park;4,3;Jl. KH Abdullah Bin Nuh No.109, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212, Indonesia;cianjur;jawa barat;Manisan Cianjur, Geco
Wisata Kera Plangon;4,3;6FGM+JH9, Babakan, Sumber, Cirebon, West Java 45612, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Bukit Gronggong;4,3;6G9C+GPJ, Patapan, Beber, Cirebon, West Java 45172, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Kampung Sabin;4,3;6FJ3+JWP, Kawasan Kota Baru Keandra, Jl. Nyi Ageng Serang, Sindangjawa, Kec. Dukupuntang, Kabupaten Cirebon, Jawa Barat 45652, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Wisata Kedung Cowet;4,3;M5CW+XJH, Unnamed Road, Cemara, Kec. Cantigi, Kabupaten Indramayu, Jawa Barat 45251, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Pantai Trungtum Tanjung Pura;4,3;PWXF+5PM, desa ujung, gebang, Kec. Sukra, Kabupaten Indramayu, Jawa Barat 45257, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Pantai Ramalike;4,3;HCRH+246, Juntikedokan, Kec. Juntinyuat, Kabupaten Indramayu, Jawa Barat 45282, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
PANTAI TAMBAK RAYA (PATAYA);4,3;Tambak, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat, Indonesia;indramayu;jawa barat;Mangga Gedong Gincu, Pindang Gombyang
Kebun Raya Kuningan;4,3;Padabeunghar, Kebun Raya, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Batu Luhur;4,3;5CW5+25C, Padabeunghar, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
D'orchid Kuningan;4,3;Jl. Palutungan, Cisantana, Cigugur, Kuningan Regency, West Java 45552, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Situ Wulukut;4,3;Kertayuga, Nusaherang, Kuningan Regency, West Java 45563, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
TELAGA NILAM;4,3;Kaduela, Pasawahan, Kuningan Regency, West Java 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Situ Cipadung;4,3;Jl. Pajajar, Indrakila, Sindang, Majalengka Regency, West Java 45471, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Kebun Teh Cipasung Lemahsugih;4,3;W5Q9+H69, Cipasung, Lemahsugih, Majalengka Regency, West Java 45465, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Coral Coast Nini;4,3;Emplak, Kecamatan Kalipucang, Emplak, Kec. Kalipucang, Kab. Pangandaran, Jawa Barat 46397, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
Cagar Alam Pangandaran;4,3;Pananjung, Pangandaran, Pangandaran Regency, West Java 46396, Indonesia;pangandaran;jawa barat;Jambal Roti, Pindang Gunung
Pemandian Air Panas Ciater;4,3;Jl. Raya Ciater, Nagrak, Ciater, Subang Regency, West Java 40154, Indonesia;subang;jawa barat;Nanas Simadu
Karang Para;4,3;2VV9+M93, Kebonmanggu, Kecamatan Gunungguruh, Kebonmanggu, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Kolam Renang Prana Sukabumi;4,3;Jl. Perana No.9A, Cikole, Sukabumi City, West Java 43113, Indonesia;sukabumi;jawa barat;Mochi, Bubur Ayam Bunut
Tandon Ciater;4,3;Ciater, Serpong Sub-District, Tangerang, Banten 15317, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Jembatan Kota Intan;4,3;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Pantai Cacalan;4,4;Lingkungan Sukowidi, Klatak, Kalipuro, Banyuwangi Regency, East Java 68421, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Wisata Goa sodong;4,4;Pelinggihan RT.2, RW.1, Grogol, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68425, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Jagir Waterfall;4,4;Dusun Krajan, Kampung Anyar, Glagah, Banyuwangi Regency, East Java 68432, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Air Terjun Polo Agung;4,4;Suko Sawah, Sukorejo, Kec. Sumberwringin, Kabupaten Bondowoso, Jawa Timur 68287, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Religious Tourism Tomb of Ki Ronggo;4,4;4R2H+867, Purnama, Sekarputih, Tegalampel, Bondowoso Regency, East Java 68291, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Bondowoso Central Park;4,4;3RPF+P2W, Kauman, Kotakulon, Bondowoso, Bondowoso Regency, East Java 68211, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Air Terjun Niagara Mini;4,4;Plalangan II, Kalianyar, Ijen, Bondowoso Regency, East Java 68288, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Bukit petualang;4,4;5R4P+R4R, Unnamed Road, Kretek II, Kretek, Kec. Taman Krocok, Kabupaten Bondowoso, Jawa Timur 68291, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Twin Falls Tancak;4,4;3M8W+CC7, Hutan, Andungsari, Pakem, Bondowoso Regency, East Java 68253, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Bendungan Sampean Baru;4,4;5WFQ+V42, Tapen, Koanyar, Pandak, Kec. Klabang, Kabupaten Bondowoso, Jawa Timur 68283, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Wagos Wisata Alam Gosari;4,4;Unnamed Road, Gosari, Kec. Ujungpangkah, Kabupaten Gresik, Jawa Timur 61154, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Wisata Alam SETIGI (SELO TIRTO GIRI);4,4;Desa, Area Sawah, Sekapuk, Kec. Panceng, Kabupaten Gresik, Jawa Timur 61154, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Edu Wisata Lontar Sewu (Hendrosari);4,4;Hendrosari, Kec. Menganti, Kabupaten Gresik, Jawa Timur 61174, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Mother's eyes travel Aer Arosbaya;4,4;Makam Air Mata, Buduran, Arosbaya, Bangkalan Regency, East Java 69151, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Pantai Pasir Putih Tlangoh;4,4;428X+H4F, Temanah, Tlangoh, Tanjung Bumi, Bangkalan Regency, East Java 69156, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Tomb Complex Ratu Ibu;4,4;Q6RJ+JWP, Rw. II, Polagan, Sampang, Sampang Regency, East Java 69216, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
White Stone Sumenep;4,4;4WHF+VP3, Gn. Tengah, Batuputih Daya, Batuputih, Sumenep Regency, East Java 69453, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Omah Kayu;4,4;Jl. Gn. Banyak, Gunungsari, Bumiaji, Batu City, East Java 65312, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Bukit Teletubbies Batu;4,4;4GWQ+FRR, Bumiaji, Batu City, East Java 65331, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Predator Fun Park;4,4;Jl. Raya Tlekung No.315, Tlekung, Junrejo, Batu City, East Java 65327, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Wagos Wisata Alam Gosari;4,4;Unnamed Road, Gosari, Kec. Ujungpangkah, Kabupaten Gresik, Jawa Timur 61154, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Wisata Alam SETIGI (SELO TIRTO GIRI);4,4;Desa, Area Sawah, Sekapuk, Kec. Panceng, Kabupaten Gresik, Jawa Timur 61154, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Edu Wisata Lontar Sewu (Hendrosari);4,4;Hendrosari, Kec. Menganti, Kabupaten Gresik, Jawa Timur 61174, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Nglirip Waterfall;4,4;Jl. Raya Mulyoagung, Sawah, Mulyoagung, Singgahan, Tuban Regency, East Java 62361, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
White Kambang Museum;4,4;JL. Kartini No.03, Kutorejo, Tuban, Tuban Regency, East Java 62311, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Wisata Religi/Ponpes Perut Bumi;4,4;Wire, Gedongombo, Kec. Semanding, Kabupaten Tuban, Jawa Timur 62381, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Sumber Mata Air Krawak;4,4;2RP4+C64, Krawak, Singgahan, Krajan, Guwoterus, Kec. Montong, Kabupaten Tuban, Jawa Timur 62361, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Pantai Onggojoyo;4,4;Jl. Tambak Gojoyo, Kec. Wedung, Kabupaten Demak, Jawa Tengah 59554, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Panggung Kesenian Tembiring Demak;4,4;3JXQ+W9R, Rw. 1, Jogoloyo, Kec. Wonosalam, Kabupaten Demak, Jawa Tengah 59571, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Pantai Ombak Mati;4,4;GPJ7+GCJ, Pantai, Rw. I, Bondo, Bangsri, Jepara Regency, Central Java 59453, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Pantai Prawean;4,4;Rw. II, Bandengan, Jepara, Jepara Regency, Central Java 59432, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Pantai Sekembu Jepara;4,4;Dukuh Tambak Rejo, Kelurahan Mulyoharjo RT05 RW04, Mulyoharjo II, Mulyoharjo, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59431, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Wisata kali dayung;4,4;9RH2+9H6, Batealif, Batealit, Kec. Batealit, Kabupaten Jepara, Jawa Tengah 59461, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
